"","found_taxa","common_name","rank"
"1","Leptocottus armatus","Pacific staghorn sculpin","species"
"2","Atherinops affinis","Topsmelt silverside","species"
"3","Clevelandia ios","Arrow goby","species"
"4","Acanthogobius flavimanus","Yellowfin goby","species"
"5","Cymatogaster aggregata","Shiner perch","species"
"6","Gasterosteus aculeatus","Three-spined stickleback","species"
"7","Gillichthys mirabilis","Longjaw mudsucker","species"
"8","Salmo salar","Atlantic salmon","species"
"9","Lavinia exilicauda","Hitch","species"
"10","Ammodytes personatus","Pacific sandlance","species"
"11","Clupea pallasii","Pacific herring","species"
"12","Atherinopsis californiensis","Jacksmelt silverside","species"
"13","Engraulis mordax","Northern anchovy","species"
"14","Oncorhynchus tshawytscha","Chinook salmon","species"
"15","Embiotoca jacksoni","Black perch","species"
"16","Citharichthys stigmaeus","Speckled sanddab","species"
"17","Lepidogobius lepidus","Bay goby","species"
"18","Cebidichthys violaceus","Monkeyface prickleback","species"
"19","Phanerodon vacca","Pile perch","species"
"20","Pholis ornata","Saddleback gunnel","species"
"21","Pholis laeta","Crescent gunnel","species"
"22","Hexagrammos decagrammus","Kelp greenling","species"
"23","Anoplopoma fimbria","Sablefish","species"
"24","Ophiodon elongatus","Lingcod","species"
"25","Oligocottus snyderi","Fluffy sculpin","species"
"26","Oncorhynchus gorbuscha","Pink salmon","species"
"27","Oncorhynchus keta","Chum salmon","species"
"28","Hemilepidotus hemilepidotus","Red Irish lord","species"
"29","Enophrys bison","Buffalo sculpin","species"
"30","Scorpaenichthys marmoratus","Cabezon","species"
"31","Artedius harringtoni","Scalyhead sculpin","species"
"32","Oncorhynchus kisutch","Coho salmon","species"
"33","Aulorhynchus flavidus","Tube-snout","species"
"34","Hippoglossus stenolepis","Pacific halibut","species"
"35","Clinocottus acuticeps","Sharpnose sculpin","species"
"36","Auxis rochei","Bullet tuna","species"
"37","Apodichthys flavidus","Penpoint gunnel","species"
"38","Sardinops sagax","South American pilchard","species"
"39","Embiotoca lateralis","Striped seaperch","species"
"40","Allosmerus elongatus","Whitebait smelt","species"
"41","Lumpenus sagitta","Snake prickleback","species"
"42","Artedius lateralis","Smoothhead sculpin","species"
"43","Sebastes entomelas","Widow rockfish","species"
"44","Pleuronichthys coenosus","C-O sole","species"
"45","Artedius fenestralis","Padded sculpin","species"
"46","Ronquilus jordani","Northern ronquil","species"
"47","Blepsias cirrhosus","Silverspotted sculpin","species"
"48","Ascelichthys rhodorus","Rosylip sculpin","species"
"49","Oncorhynchus clarkii","Cutthroat trout","species"
"50","Paralabrax nebulifer","Barred sand bass","species"
"51","Alosa sapidissima","American shad","species"
"52","Phoxinus phoxinus","Minnow","species"
"53","Notorynchus cepedianus","Broadnose sevengill shark","species"
"54","Cryptacanthodes giganteus","Giant wrymouth","species"
"55","Quietula y-cauda","American shadow goby","species"
"56","Anisotremus davidsonii","Xantic sargo","species"
"57","Brachygenys californiensis","Californian salema","species"
"58","Mugil cephalus","Flathead grey mullet","species"
"59","Hypsoblennius gentilis","Bay blenny","species"
"60","Paralabrax clathratus","Kelp bass","species"
"61","Anchoa delicatissima","Slough anchovy","species"
"62","Ctenogobius sagittula","Longtail goby","species"
"63","Cynoscion parvipinnis","Shortfin corvina","species"
"64","Seriola lalandi","Yellowtail amberjack","species"
"65","Micrometrus minimus","Dwarf perch","species"
"66","Girella nigricans","Opaleye","species"
"67","Paralichthys californicus","California halibut","species"
"68","Menticirrhus undulatus","California corbina","species"
"69","Fundulus parvipinnis","California killifish","species"
"70","Pleuronichthys guttulatus","Diamond turbot","species"
"71","Anchoa compressa","Deep body anchovy","species"
"72","Leuresthes tenuis","California grunion","species"
"73","Gadus chalcogrammus","Alaska pollock","species"
"74","Atractoscion nobilis","White seabass","species"
"75","Roncador stearnsii","Spotfin croaker","species"
"76","Umbrina roncador","Yellowfin drum","species"
"77","Sebastes nebulosus","China rockfish","species"
"78","Jordania zonope","Longfin sculpin","species"
"79","Nautichthys oculofasciatus","Sailfin sculpin","species"
"80","Liparis florae","Tidepool snailfish","species"
"81","Rimicola muscarum","Kelp clingfish","species"
"82","Phytichthys chirus","Ribbon prickleback","species"
"83","Sebastes paucispinis","Bocaccio rockfish","species"
"84","Brachyistius frenatus","Kelp perch","species"
"85","Microgadus proximus","Pacific tomcod","species"
"86","Platichthys stellatus","Starry flounder","species"
"87","Oncorhynchus mykiss","Rainbow trout","species"
"88","Myoxocephalus stelleri",NA,"species"
"89","Hydrolagus colliei","Spotted ratfish","species"
"90","Citharichthys sordidus","Pacific sanddab","species"
"91","Barbatula barbatula","Stone loach: invasive?","species"
"92","Oxylebius pictus","Painted greenling","species"
"93","Rhamphocottus richardsonii","Grunt sculpin","species"
"94","Podothecus accipenserinus","Sturgeon poacher","species"
"95","Syngnathus exilis","Barcheek pipefish","species"
"96","Myoxocephalus quadricornis","Fourhorn sculpin","species"
"97","Leuroglossus schmidti","Northern smoothtongue","species"
"98","Sebastes gilli","Bronzespotted rockfish","species"
"99","Anarrhichthys ocellatus","Wolf eel","species"
"100","Ruscarius creaseri","Roughcheek sculpin","species"
"101","Liparis cyclopus","Ribbon snailfish","species"
"102","Psychrolutes paradoxus","Tadpole sculpin","species"
"103","Mallotus villosus","Capelin","species"
"104","Cryptacanthodes aleutensis","Dwarf wrymouth","species"
"105","Spirinchus thaleichthys","Longfin smelt","species"
"106","Peprilus simillimus","Pacific pompano","species"
"107","Syngnathus auliscus","Barred pipefish","species"
"108","Trachurus symmetricus","Pacific jack mackerel","species"
"109","Strongylura exilis","Californian needlefish","species"
"110","Hypsoblennius jenkinsi","Mussel blenny","species"
