species,verified_bc,source,note
Agonopsis vulsa,1,Fishbase,Northern spear nose poacher
Ammodytes personatus,1,Fishbase,Pacific sandlance
Amphistichus argenteus,0,Fishbase,"Barred surfperch; CA, USA"
Cottus cognatus,1,Fishbase,Slimy sculpin; brackish + freshwater
Eopsetta jordani,1,Fishbase,Petrale sole
Isopsetta isolepis,1,Fishbase,Butter sole
Microstomus pacificus,1,Fishbase,Dover sole
Mola mola,1,Fishbase,Ocean sunfish
Myoxocephalus jaok,0,Fishbase,"Plain sculpin; AK, USA"
Nannobrachium regale,1,OBIS,Pinpoint lampfish
Salmo salar,0,Fishbase,Atlantic salmon
Sebastolobus macrochir,0,OBIS,Broadbanded thorny head
Tactostoma macropus,1,Fishbase,Longfin dragonfish
Chthamalus fragilis,1,WoRMS,Fragile barnacle
Polycystis hamata,1,WoRMS,
Paranemertes californica,1,OBIS,
