"","species","obisgbif","love2021","hakai2020","hart","hakaiseine","hakaisample","caution","verifiedbc"
"1","Lampetra tridentata",0,1,0,0,0,0,1,0
"2","Rostroraja equatorialis",0,1,0,0,0,0,1,0
"3","Rostroraja velezi",0,1,0,0,0,0,1,0
"4","Congriscus megastomus",0,1,0,0,0,0,1,0
"5","Triphoturus oculeus",0,1,0,0,0,0,1,0
"6","Paracetonurus occidentalis",0,1,0,0,0,0,1,0
"7","Sebastes crocotulus",0,1,0,0,0,0,1,0
"8","Eumicrotremus muticus",0,1,0,0,0,0,1,0
"9","Cephalopholis colonus",0,1,0,0,0,0,1,0
"10","Baldwinella eos",0,1,0,0,0,0,1,0
"11","Lobotes pacificus",0,1,0,0,0,0,1,0
"12","Haemulopsis nitida",0,1,0,0,0,0,1,0
"13","Rhonciscus branickii",0,1,0,0,0,0,1,0
"14","Paraclinus asper",0,1,0,0,0,0,1,0
"15","Emblemaria bicirris",0,1,0,0,0,0,1,0
"16","Lythrypnus crinitus",0,1,0,0,0,0,1,0
