"","found_taxa","common_name"
"1","Agonomalus mozinoi","Kelp poacher"
"2","Ammodytes","Pacific sandlance species"
"3","Ammodytes personatus","Pacific sandlance"
"4","Anarrhichthys ocellatus","Wolf eel"
"5","Anoplarchus","Cockscomb species"
"6","Anoplopoma fimbria","Sablefish"
"7","Apodichthys flavidus","Penpoint gunnel"
"8","Artedius fenestralis","Padded sculpin"
"9","Artedius harringtoni","Scalyhead sculpin"
"10","Artedius lateralis","Smoothhead sculpin"
"11","Artedius notospilotus","Bonehead sculpin"
"12","Ascelichthys rhodorus","Rosylip sculpin"
"13","Aulorhynchus flavidus","Tube-snout"
"14","Blepsias cirrhosus","Silverspotted sculpin"
"15","Brachyistius frenatus","Kelp perch"
"16","Brosmophycis marginata","Red brotula"
"17","Chirolophis","Warbonnet species"
"18","Chitonotus pugetensis","Roughback sculpin"
"19","Citharichthys sordidus","Pacific sanddab"
"20","Citharichthys stigmaeus","Speckled sanddab"
"21","Clevelandia ios","Arrow goby"
"22","Clinocottus","Clinoottus sculpin species"
"23","Clinocottus acuticeps","Sharpnose sculpin"
"24","Clinocottus globiceps","Mosshead sculpin"
"25","Clupea pallasii","Pacific herring"
"26","Cottidae","Sculpin family"
"27","Cottus","Cottus sculpin species"
"28","Cryptacanthodes","Wrymouth species"
"29","Cymatogaster aggregata","Shiner perch"
"30","Embiotoca lateralis","Striped seaperch"
"31","Embiotocidae","Surfperch family"
"32","Engraulis mordax","Northern anchovy"
"33","Enophrys bison","Buffalo sculpin"
"34","Eopsetta jordani","Petrale sole"
"35","Gadidae","True cod family"
"36","Gadus","Cod species"
"37","Gadus chalcogrammus","Alaska pollock"
"38","Gadus macrocephalus","Pacific cod"
"39","Gasterosteus","Three-spined stickleback species"
"40","Gasterosteus aculeatus","Three-spined stickleback"
"41","Gibbonsia montereyensis","Crevice kelpfish"
"42","Gobiesox maeandricus","Northern clingfish"
"43","Hemilepidotus","Hemilepidotus sculpin species"
"44","Hemilepidotus hemilepidotus","Red Irish lord"
"45","Hexagrammos","Greenling species"
"46","Hexagrammos decagrammus","Kelp greenling"
"47","Hippoglossus stenolepis","Pacific halibut"
"48","Hydrolagus colliei","Spotted ratfish"
"49","Hyperprosopon argenteum","Walleye surfperch"
"50","Hypomesus pretiosus","Surf smelt"
"51","Icelinus","Icelinus sculpin species"
"52","Icelinus borealis","Northern sculpin"
"53","Icosteus aenigmaticus","Ragfish"
"54","Jordania zonope","Longfin sculpin"
"55","Leiocottus","Leiocottus sculpin species?"
"56","Lepidogobius lepidus","Bay goby"
"57","Lepidopsetta","Sole species"
"58","Leptoclinus maculatus","Spotted snakeblenny"
"59","Leptocottus armatus","Pacific staghorn sculpin"
"60","Liparis","Liparis snailfish species"
"61","Liparis cyclopus","Ribbon snailfish"
"62","Liparis florae","Tidepool snailfish"
"63","Liparis fuscensis","Slipskin snailfish"
"64","Liparis mucosus","Slimy snailfish"
"65","Liparis pulchellus","Showy snailfish"
"66","Lumpenus sagitta","Snake prickleback"
"67","Lyopsetta exilis","Slender sole"
"68","Malacocottus","Malacocottus sculpin species"
"69","Merluccius productus","North Pacific Hake"
"70","Microgadus proximus","Pacific tomcod"
"71","Microstomus pacificus","Pacific Dover sole"
"72","Mola","Sunfish species"
"73","Myoxocephalus","Myoxocephalus sculpin species"
"74","Nautichthys oculofasciatus","Sailfin sculpin"
"75","Odontopyxis trispinosa","Pygmy poacher"
"76","Oligocottus","Oligocottus sculpin species"
"77","Oligocottus snyderi","Fluffy sculpin"
"78","Oncorhynchus","Salmon species"
"79","Oncorhynchus keta","Chum salmon"
"80","Oncorhynchus kisutch","Coho salmon"
"81","Oncorhynchus nerka","Sockeye salmon"
"82","Oncorhynchus tshawytscha","Chinook salmon"
"83","Ophiodon elongatus","Lingcod"
"84","Orthonopias triacis","Snubnose sculpin"
"85","Oxylebius pictus","Painted greenling"
"86","Perciformes","Perciformes order"
"87","Pholis","Gunnel species"
"88","Pholis laeta","Crescent gunnel"
"89","Pholis ornata","Saddleback gunnel"
"90","Phytichthys chirus","Ribbon prickleback"
"91","Pleuronectidae","Flatfish family"
"92","Pleuronectiformes","Flatfish order"
"93","Pleuronichthys coenosus","C-O sole"
"94","Prosopium williamsoni","Mountain whitefish"
"95","Rhamphocottus richardsonii","Grunt sculpin"
"96","Rhinichthys cataractae","Longnose dace"
"97","Rhinogobiops nicholsii","Blackeye goby"
"98","Rimicola muscarum","Kelp clingfish"
"99","Ronquilus jordani","Northern ronquil"
"100","Salmo salar","Atlantic salmon"
"101","Salvelinus","Char species"
"102","Scomber","Mackerel species"
"103","Scorpaenichthys marmoratus","Cabezon"
"104","Sebastes","Rockfish species"
"105","Sebastes entomelas","Widow rockfish"
"106","Sebastes nebulosus","China rockfish"
"107","Sebastes paucispinis","Bocaccio rockfish"
"108","Sebastolobus","Thornyhead species"
"109","Stichaeidae","Butterfish family"
"110","Synchirus gilli","Manacled sculpin"
"111","Syngnathus","Pipefish species"
"112","Trichodon trichodon","Pacific sandfish"
"113","Xiphister","Prickleback species"
