"","taxa","phylum","family"
"1","Balanusbilus","Arthropoda","Balanidae"
"2","Pseudodiaptomus inopinusyushu","Arthropoda","Pseudodiaptomidae"
"3","Dermacentorabilis","Arthropoda","Ixodidae"
"4","Alpheusttingi","Arthropoda","Alpheidae"
"5","Alpheusrmanni","Arthropoda","Alpheidae"
"6","Hyalelssoni","Arthropoda","Hyalidae"
"7","Synalpheus pandionis giant","Arthropoda","Alpheidae"
"8","Synalpheus longicarpus small","Arthropoda","Alpheidae"
"9","Munidatata","Arthropoda","Munididae"
"10","Aeglauquensis","Arthropoda","Aeglidae"
"11","Mimetustius","Arthropoda","Mimetidae"
"12","Uroctena wadjukia-yellandi","Arthropoda","Paramelitidae"
"13","Anonyxgax","Arthropoda","Uristidae"
"14","Lycaeasuta","Arthropoda","Lycaeidae"
"15","Daphnia pulicaria hybrid","Arthropoda","Daphniidae"
"16","Charybdisegata","Arthropoda","Portunidae"
"17","Evadnerdmanni","Arthropoda","Podonidae"
"18","Pleuroxusdentatus","Arthropoda","Chydoridae"
"19","Limnadiidae lineage","Arthropoda","Limnadiidae"
"20","Calcinustidus","Arthropoda","Diogenidae"
"21","Synisomadejda","Arthropoda","Idoteidae"
"22","Parastacuscosus","Arthropoda","Parastacidae"
"23","Saronglectus","Arthropoda","Hippolytidae"
"24","Pergalumnarvosa","Arthropoda","Galumnidae"
"25","Eupodesegatus","Arthropoda","Eupodidae"
"26","Triopswberryi","Arthropoda","Triopsidae"
"27","Zeuxormani","Arthropoda","Tanaididae"
"28","Paralomis anamerae x formosa","Arthropoda","Lithodidae"
"29","Diapterobatesabilis","Arthropoda","Ceratozetidae"
"30","Banareiabili","Arthropoda","Xanthidae"
"31","Conopea galeataanama","Arthropoda","Archaeobalanidae"
"32","Conopea galeatarazil","Arthropoda","Archaeobalanidae"
"33","Conopea galeataalapagos","Arthropoda","Archaeobalanidae"
"34","Octonobaans","Arthropoda","Uloboridae"
"35","Limnadopsis parvispinusuchanan","Arthropoda","Limnadiidae"
"36","Limnadopsis tateiitanic","Arthropoda","Limnadiidae"
"37","Limnadopsis tateiarters","Arthropoda","Limnadiidae"
"38","Pionaabilis","Arthropoda","Pionidae"
"39","Paradoneaegata","Arthropoda","Eresidae"
"40","Amphibalanusegatus","Arthropoda","Balanidae"
"41","Jaxeacturna","Arthropoda","Laomediidae"
"42","Euseiuscholsi","Arthropoda","Phytoseiidae"
"43","Delibusdus","Arthropoda","Paracalanidae"
"44","Proaselluslli","Arthropoda","Asellidae"
"45","Paruroctonusabilis","Arthropoda","Vaejovidae"
"46","Holoversiagra","Arthropoda","Gonyleptidae"
"47","Mitopernoidesabilis","Arthropoda","Gonyleptidae"
"48","Typhlotanaisabilis","Arthropoda","Typhlotanaidae"
"49","Mesomexovisegatus","Arthropoda","Vaejovidae"
"50","Rungana","Arthropoda","Synotaxidae"
"51","Ampithoeana","Arthropoda","Ampithoidae"
"52","Sphodrosger","Arthropoda","Atypidae"
"53","Microcyclopscans","Arthropoda","Cyclopidae"
"54","Libystestidus","Arthropoda","Portunidae"
"55","Rimicarisabilis","Arthropoda","Alvinocarididae"
"56","Hyalommatidum","Arthropoda","Ixodidae"
"57","Cambarusdosus","Arthropoda","Cambaridae"
"58","Hahniava","Arthropoda","Hahniidae"
"59","Zodariontidum","Arthropoda","Zodariidae"
"60","Zodarionsiote","Arthropoda","Zodariidae"
"61","Prithana","Arthropoda","Filistatidae"
"62","Munidasiotes","Arthropoda","Munididae"
"63","Idiosomagrum","Arthropoda","Idiopidae"
"64","Euoplosabilis","Arthropoda","Idiopidae"
"65","Coenobitaabilis","Arthropoda","Coenobitidae"
"66","Cantuariapua","Arthropoda","Idiopidae"
"67","Limnoriagatai","Arthropoda","Limnoriidae"
"68","Elasmopusjaf","Arthropoda","Maeridae"
"69","Penaeustialis","Arthropoda","Penaeidae"
"70","Manihoaitahu","Arthropoda","Desidae"
