"","taxa","phylum"
"1","Discosomammiforme","Cnidaria"
"2","Bugularitina","Bryozoa"
"3","reptantmertean","Nemertea"
"4","Ramazzottiuseornatus","Tardigrada"
"5","Geodiaptuni","Porifera"
"6","Agelaskamurai","Porifera"
"7","Rotariaptunia","Rotifera"
"8","Tethyarvegica","Porifera"
"9","Echiniscus testudot-Ladakh-1","Tardigrada"
"10","Alcyoniumabile","Cnidaria"
"11","Irciniaabilis","Porifera"
"12","Biemnaantia","Porifera"
"13","Cyaneazakii","Cnidaria"
"14","Brachionusabilis","Rotifera"
"15","Solenosmiliaabilis","Cnidaria"
"16","Palythoaabilis","Cnidaria"
"17","Eugorgiabilis","Cnidaria"
"18","Kirkpatrickiaolosa","Porifera"
"19","Onogorgiadosa","Cnidaria"
