"","x"
"1","metridia pseudopacifica"
"2","balanusbilus"
"3","pseudodiaptomus inopinusyushu"
"4","dermacentorabilis"
"5","alpheusttingi"
"6","alpheusrmanni"
"7","hyalelssoni"
"8","synalpheus pandionis giant"
"9","synalpheus longicarpus small"
"10","munidatata"
"11","aeglauquensis"
"12","mimetustius"
"13","uroctena wadjukia-yellandi"
"14","hyalella (mesohyalella)"
"15","anonyxgax"
"16","lycaeasuta"
"17","daphnia pulicaria hybrid"
"18","charybdisegata"
"19","evadnerdmanni"
"20","pleuroxusdentatus"
"21","limnadiidae lineage"
"22","calcinustidus"
"23","synisomadejda"
"24","eresus kollari4_04"
"25","parastacuscosus"
"26","saronglectus"
"27","pergalumnarvosa"
"28","eupodesegatus"
"29","tydaeolinae"
"30","triopswberryi"
"31","hoekiini"
"32","zeuxormani"
"33","paralomis anamerae x formosa"
"34","diapterobatesabilis"
"35","banareiabili"
"36","coleoscirinae"
"37","conopea galeataanama"
"38","conopea galeatarazil"
"39","conopea galeataalapagos"
"40","octonobaans"
"41","limnadopsis parvispinusuchanan"
"42","limnadopsis tateiitanic"
"43","limnadopsis tateiarters"
"44","pionaabilis"
"45","paradoneaegata"
"46","amphibalanusegatus"
"47","jaxeacturna"
"48","euseiuscholsi"
"49","delibusdus"
"50","proaselluslli"
"51","paruroctonusabilis"
"52","holoversiagra"
"53","mitopernoidesabilis"
"54","typhlotanaisabilis"
"55","mesomexovisegatus"
"56","rungana"
"57","ampithoeana"
"58","sphodrosger"
"59","microcyclopscans"
"60","libystestidus"
"61","rimicarisabilis"
"62","hyalommatidum"
"63","cambarusdosus"
"64","hahniava"
"65","zodariontidum"
"66","zodarionsiote"
"67","prithana"
"68","baalrog sbordonii"
"69","munidasiotes"
"70","idiosomagrum"
"71","euoplosabilis"
"72","coenobitaabilis"
"73","cantuariapua"
"74","limnoriagatai"
"75","elasmopusjaf"
"76","penaeustialis"
"77","manihoaitahu"
